chr	position	GM06990_ABL1	GM06990_MLLT3
8	12800001	-0.651933222	-1.147899242
8	12900001	-0.954594591	-1.147899242
8	13000001	-1.257255924	-1.147899242
8	13100001	-1.257255924	-1.469989268
8	13200001	-1.257255924	-1.469989268
8	13300001	-1.257255924	-1.147899242
8	13400001	-1.257255924	-1.147899242
8	13500001	-1.257255924	-1.469989268
8	13600001	-1.257255924	-1.469989268
8	13700001	-1.257255924	-1.469989268
8	13800001	-0.954594591	-1.147899242
8	13900001	-0.651933222	-1.147899242
8	14000001	-0.651933222	-1.147899242
8	14100001	-0.651933222	-1.147899242
8	14200001	-0.651933222	-1.147899242
8	14300001	-0.651933222	-1.469989268
8	14400001	-0.651933222	-1.147899242
8	14500001	-0.651933222	-0.50371923
8	14600001	-0.349271924	-0.50371923
8	14700001	-0.046610519	-0.50371923
8	14800001	-0.349271924	-0.825809256
8	14900001	-0.651933222	-0.50371923
8	15000001	-0.349271924	-0.50371923
8	15100001	-0.349271924	-0.50371923
8	15200001	-0.046610519	-0.50371923
8	15300001	-0.046610519	-0.181629164
8	15400001	-0.046610519	0.140460781
8	15500001	0.256050886	-0.50371923
8	15600001	0.558712183	-0.50371923
8	15700001	0.256050886	-0.50371923
8	15800001	0.256050886	-0.181629164
8	15900001	0.558712183	-0.50371923
8	16000001	0.256050886	-0.50371923
8	16100001	-0.046610519	-0.50371923
8	16200001	-0.046610519	-0.50371923
8	16300001	-0.046610519	-0.50371923
8	16400001	-0.046610519	-1.147899242
8	16500001	-0.046610519	-1.147899242
8	16600001	-0.651933222	-1.147899242
8	16700001	-0.651933222	-1.147899242
8	16800001	-0.349271924	-1.469989268
8	16900001	-0.651933222	-1.469989268
8	17000001	-0.651933222	-1.469989268
8	17100001	-0.651933222	-1.147899242
8	17200001	-0.651933222	-1.147899242
8	17300001	-0.651933222	-1.147899242
8	17400001	-0.651933222	-1.147899242
8	17500001	-0.954594591	-1.147899242
8	17600001	-0.954594591	-0.825809256
8	17700001	-0.651933222	-0.825809256
8	17800001	-0.954594591	-0.825809256
8	17900001	-0.651933222	-0.825809256
8	18000001	-0.651933222	-0.825809256
8	18100001	-0.046610519	-0.825809256
8	18200001	-0.349271924	-0.50371923
8	18300001	0.256050886	-0.50371923
8	18400001	0.256050886	-0.181629164
8	18500001	0.558712183	0.140460781
8	18600001	0.558712183	-0.181629164
8	18700001	0.558712183	-0.181629164
8	18800001	0.558712183	-0.181629164
8	18900001	0.256050886	0.140460781
8	19000001	0.256050886	0.462550726
8	19100001	-0.349271924	0.140460781
8	19200001	-0.046610519	-0.181629164
8	19300001	-0.349271924	-0.50371923
8	19400001	-0.349271924	-0.825809256
8	19500001	-0.046610519	-0.825809256
8	19600001	-0.046610519	-0.181629164
8	19700001	-0.349271924	-0.181629164
8	19800001	0.256050886	0.140460781
8	19900001	0.256050886	0.140460781
8	20000001	0.256050886	1.106730859
8	20100001	0.256050886	1.106730859
8	20200001	-0.046610519	1.428820966
8	20300001	-0.349271924	1.750910911
8	20400001	-0.349271924	2.717180746
8	20500001	-0.349271924	2.395090801
8	20600001	0.256050886	1.750910911
8	20700001	0.256050886	1.750910911
8	20800001	-0.046610519	1.428820966
8	20900001	0.558712183	1.106730859
8	21000001	0.558712183	0.140460781
8	21100001	0.558712183	0.140460781
8	21200001	0.558712183	0.140460781
8	21300001	0.861373481	0.462550726
8	21400001	1.164034779	-0.50371923
8	21500001	1.164034779	-0.50371923
8	21600001	0.558712183	-0.50371923
8	21700001	0.558712183	-0.181629164
8	21800001	0.256050886	0.140460781
8	21900001	-0.349271924	0.140460781
8	22000001	0.558712183	0.140460781
8	22100001	0.558712183	0.140460781
8	22200001	0.558712183	-0.181629164
8	22300001	0.861373481	-0.181629164
8	22400001	0.861373481	0.140460781
8	22500001	0.861373481	0.140460781
8	22600001	0.861373481	0.140460781
8	22700001	1.164034779	-0.181629164
8	22800001	1.164034779	-0.50371923
8	22900001	1.466696076	0.140460781
8	23000001	1.466696076	0.140460781
8	23100001	1.466696076	0.140460781
8	23200001	1.466696076	0.140460781
8	23300001	0.861373481	-0.50371923
8	23400001	0.558712183	-0.50371923
8	23500001	-0.046610519	-0.181629164
8	23600001	-0.046610519	0.140460781
8	23700001	-0.349271924	0.140460781
8	23800001	-0.046610519	0.140460781
8	23900001	-0.349271924	-0.50371923
8	24000001	-0.954594591	-0.825809256
8	24100001	-0.954594591	-0.50371923
8	24200001	-0.954594591	-0.50371923
8	24300001	-0.954594591	-0.50371923
8	24400001	-0.954594591	-0.825809256
8	24500001	-0.954594591	-0.825809256
8	24600001	-0.954594591	-0.825809256
8	24700001	-0.651933222	-0.50371923
8	24800001	-0.954594591	0.140460781
8	24900001	-0.954594591	0.784640833
